Feature,Importance,Cost_USD,Efficiency
age,0.0655383584557206,0.0,0.0655383584557206
sex,0.04651496269208191,0.0,0.04651496269208191
cp,0.08315164660513207,5.0,0.016630329321026413
exang,0.08334521222758942,10.0,0.008334521222758942
trestbps,0.0642836101837154,10.0,0.006428361018371539
chol,0.06482157261912057,25.0,0.0025928629047648226
thalach,0.1193128359941651,75.0,0.0015908378132555346
oldpeak,0.13239929741094827,100.0,0.0013239929741094827
fbs,0.017680888823699517,15.0,0.0011787259215799678
restecg,0.03532227209635454,50.0,0.0007064454419270907
slope,0.05573235000745023,100.0,0.0005573235000745023
thal,0.1264782244592206,250.0,0.0005059128978368824
ca,0.1054187684248018,350.0,0.0003011964812137194
